 Ref_Format,Video_Format,H_Timing,V_Timing
720p5000,625i5000,1.18,0 line
625i5000,625i5000,2.44,0 line
1080i5994,1080i5994,0.94,0 line
720p5994,1080i5994,0.84,0 line
525i5994,1080i5994,0.24,0 line
1080i5994,720p5994,0.93,0 line
720p5994,720p5994,0.79,0 line
1080i5994,1080p5994_A,0.12,0 line
720p5994,1080p5994_A,0.09,0 line
525i5994,1080p5994_A,3.34,191 lines advanced
1080i5994,525i5994,3.25,0 line
720p5994,525i5994,2.96,0 line
525i5994,525i5994,2.51,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,0.94,0 line
625i5000,1080i5000,0.22,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,0.94,0 line
625i5000,720p5000,0.59,0 line
1080i5000,1080p5000_A,0.16,0 line
720p5000,1080p5000_A,8.78,0 line
625i5000,1080p5000_A,8.26,  2 lines delayed
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.18,0 line
625i5000,625i5000,2.66,0 line
1080i5994,1080i5994,0.9,0 line
720p5994,1080i5994,0.84,0 line
525i5994,1080i5994,0.04,0 line
1080i5994,720p5994,0.9,0 line
720p5994,720p5994,0.79,0 line
525i5994,720p5994,0.08,0 line
1080i5994,1080p5994_A,1.26,  4 lines delayed
720p5994,1080p5994_A,7.01,226 lines advanced
525i5994,1080p5994_A,0.71,176 lines advanced
1080i5994,525i5994,3.25,0 line
720p5994,525i5994,3.7,0 line
525i5994,525i5994,2.29,0 line
1080i5000,1080i5000,0.88,0 line
720p5000,1080i5000,0.92,0 line
625i5000,1080i5000,0.39,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,0.92,0 line
625i5000,720p5000,0.49,0 line
1080i5000,1080p5000_A,2.76,  4 lines delayed
720p5000,1080p5000_A,8.76,0 line
625i5000,1080p5000_A,8.76,544 lines advanced
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.18,0 line
625i5000,625i5000,2.74,0 line
1080i5994,1080i5994,0.94,0 line
720p5994,1080i5994,0.76,0 line
525i5994,1080i5994,0.4,0 line
1080i5994,720p5994,0.89,0 line
720p5994,720p5994,0.89,0 line
525i5994,720p5994,0.05,0 line
1080i5994,1080p5994_A,6.47, 56 lines delayed
720p5994,1080p5994_A,0.06,0 line
525i5994,1080p5994_A,4.57, 11 lines advanced
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.33,0 line
525i5994,525i5994,2.88,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,0.94,0 line
625i5000,1080i5000,0.37,0 line
1080i5000,720p5000,0.95,0 line
720p5000,720p5000,0.95,0 line
625i5000,720p5000,0.9,0 line
1080i5000,1080p5000_A,2.72,  4 lines delayed
720p5000,1080p5000_A,6.22,  4 lines delayed
625i5000,1080p5000_A,0.51,0 line
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.96,0 line
1080i5994,1080i5994,0.94,0 line
720p5994,1080i5994,0.91,0 line
525i5994,1080i5994,0.05,0 line
1080i5994,720p5994,0.86,0 line
720p5994,720p5994,0.93,0 line
525i5994,720p5994,0.06,0 line
1080i5994,1080p5994_A,1.32,  4 lines delayed
720p5994,1080p5994_A,3.8, 55 lines advanced
525i5994,1080p5994_A,1.06,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.18,0 line
525i5994,525i5994,2.44,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,1.18,0 line
625i5000,1080i5000,0.21,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,0.97,0 line
625i5000,720p5000,0.45,0 line
1080i5000,1080p5000_A,2.47,  4 lines delayed
720p5000,1080p5000_A,7.35, 91 lines delayed
625i5000,1080p5000_A,7.24,447 lines advanced
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.66,0 line
1080i5994,1080i5994,0.94,0 line
720p5994,1080i5994,1.33,0 line
525i5994,1080i5994,0.01,0 line
1080i5994,720p5994,0.9,0 line
720p5994,720p5994,1.32,0 line
525i5994,720p5994,0.01,0 line
1080i5994,1080p5994_A,0.13,0 line
720p5994,1080p5994_A,0.12,0 line
525i5994,1080p5994_A,0.87,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.7,0 line
525i5994,525i5994,2.51,0 line
1080i5000,1080i5000,0.88,0 line
720p5000,1080i5000,1.15,0 line
625i5000,1080i5000,0.12,0 line
1080i5000,720p5000,0.95,0 line
720p5000,720p5000,1.3,0 line
625i5000,720p5000,0.55,0 line
1080i5000,1080p5000_A,2.66,  4 lines delayed
720p5000,1080p5000_A,0.17,0 line
625i5000,1080p5000_A,0.56,0 line
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.88,0 line
1080i5994,1080i5994,0.94,0 line
720p5994,1080i5994,1.09,0 line
525i5994,1080i5994,0.24,0 line
1080i5994,720p5994,0.91,0 line
720p5994,720p5994,1.14,0 line
525i5994,720p5994,0.02,0 line
1080i5994,1080p5994_A,1.2,  4 lines delayed
720p5994,1080p5994_A,0.04,0 line
525i5994,1080p5994_A,5.52,368 lines advanced
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.92,0 line
525i5994,525i5994,2.59,0 line
1080i5000,1080i5000,0.88,0 line
720p5000,1080i5000,0.94,0 line
625i5000,1080i5000,0.05,0 line
1080i5000,720p5000,0.97,0 line
720p5000,720p5000,1.02,0 line
625i5000,720p5000,0.2,0 line
1080i5000,1080p5000_A,2.76,  4 lines delayed
720p5000,1080p5000_A,0.06,0 line
625i5000,1080p5000_A,8.26,  2 lines delayed
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.51,0 line
1080i5994,1080i5994,0.93,0 line
720p5994,1080i5994,1.36,0 line
525i5994,1080i5994,0.02,0 line
1080i5994,720p5994,0.93,0 line
720p5994,720p5994,1.09,0 line
525i5994,720p5994,0.1,0 line
1080i5994,1080p5994_A,1.33,  4 lines delayed
720p5994,1080p5994_A,0.08,0 line
525i5994,1080p5994_A,1.1,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.25,0 line
525i5994,525i5994,2.59,0 line
1080i5000,1080i5000,0.88,0 line
720p5000,1080i5000,0.97,0 line
625i5000,1080i5000,0.18,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,1.37,0 line
625i5000,720p5000,0.24,0 line
1080i5000,1080p5000_A,2.78,  4 lines delayed
720p5000,1080p5000_A,0.21,0 line
625i5000,1080p5000_A,0.76,0 line
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.18,0 line
625i5000,625i5000,2.74,0 line
1080i5994,1080i5994,0.95,0 line
720p5994,1080i5994,1.33,0 line
525i5994,1080i5994,0.05,0 line
1080i5994,720p5994,0.93,0 line
720p5994,720p5994,1.32,0 line
525i5994,720p5994,0.02,0 line
1080i5994,1080p5994_A,1.56,  4 lines delayed
720p5994,1080p5994_A,5.47,144 lines delayed
525i5994,1080p5994_A,1.1,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.33,0 line
525i5994,525i5994,2.51,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,0.94,0 line
625i5000,1080i5000,0.14,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,0.92,0 line
625i5000,720p5000,0.53,0 line
1080i5000,1080p5000_A,0.18,0 line
720p5000,1080p5000_A,0.16,0 line
625i5000,1080p5000_A,2.42,469 lines delayed
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.66,0 line
1080i5994,1080i5994,0.97,0 line
720p5994,1080i5994,0.94,0 line
525i5994,1080i5994,0.06,0 line
1080i5994,720p5994,0.91,0 line
720p5994,720p5994,0.83,0 line
525i5994,720p5994,0.21,0 line
1080i5994,1080p5994_A,0.17,0 line
720p5994,1080p5994_A,0.71, 63 lines delayed
525i5994,1080p5994_A,1.05,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.25,0 line
525i5994,525i5994,2.37,0 line
1080i5000,1080i5000,0.86,0 line
720p5000,1080i5000,0.98,0 line
625i5000,1080i5000,0.4,0 line
1080i5000,720p5000,0.95,0 line
720p5000,720p5000,0.95,0 line
625i5000,720p5000,0.16,0 line
1080i5000,1080p5000_A,2.8,  4 lines delayed
720p5000,1080p5000_A,0.14,0 line
625i5000,1080p5000_A,8.05,  2 lines delayed
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.66,0 line
1080i5994,1080i5994,0.94,0 line
720p5994,1080i5994,1.21,0 line
525i5994,1080i5994,0.06,0 line
1080i5994,720p5994,0.89,0 line
720p5994,720p5994,1.29,0 line
525i5994,720p5994,0.18,0 line
1080i5994,1080p5994_A,1.41,  4 lines delayed
720p5994,1080p5994_A,0.01,0 line
525i5994,1080p5994_A,2.07,468 lines advanced
720p5994,525i5994,3.4,0 line
525i5994,525i5994,2.59,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,0.94,0 line
625i5000,1080i5000,0.35,0 line
1080i5000,720p5000,0.97,0 line
720p5000,720p5000,1.14,0 line
625i5000,720p5000,0.18,0 line
1080i5000,1080p5000_A,2.72,  4 lines delayed
720p5000,1080p5000_A,2.1,244 lines advanced
625i5000,1080p5000_A,0.92,222 lines advanced
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,1.18,0 line
625i5000,625i5000,2.88,0 line
1080i5994,1080i5994,0.94,0 line
720p5994,1080i5994,0.99,0 line
525i5994,1080i5994,0.21,0 line
1080i5994,720p5994,0.87,0 line
720p5994,720p5994,1.13,0 line
525i5994,720p5994,0.02,0 line
1080i5994,1080p5994_A,1.13,  4 lines delayed
720p5994,1080p5994_A,0.13,0 line
525i5994,1080p5994_A,3.58,452 lines advanced
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.85,0 line
525i5994,525i5994,2.37,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,1.14,0 line
625i5000,1080i5000,0.25,0 line
1080i5000,720p5000,0.98,0 line
720p5000,720p5000,0.92,0 line
1080i5000,1080p5000_A,2.74,  4 lines delayed
720p5000,1080p5000_A,8.76,0 line
625i5000,1080p5000_A,7.09,283 lines advanced
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.18,0 line
625i5000,625i5000,2.66,0 line
1080i5994,1080i5994,0.94,0 line
720p5994,1080i5994,1.18,0 line
525i5994,1080i5994,0.27,0 line
1080i5994,720p5994,0.93,0 line
720p5994,720p5994,0.84,0 line
525i5994,720p5994,0.08,0 line
1080i5994,1080p5994_A,0.16,0 line
720p5994,1080p5994_A,0.04,0 line
525i5994,1080p5994_A,4.59, 11 lines advanced
1080i5994,525i5994,3.11,0 line
720p5994,525i5994,3.77,0 line
525i5994,525i5994,2.59,0 line
1080i5000,1080i5000,0.86,0 line
720p5000,1080i5000,1.01,0 line
625i5000,1080i5000,0.12,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,0.94,0 line
625i5000,720p5000,0.12,0 line
1080i5000,1080p5000_A,2.8,  4 lines delayed
720p5000,1080p5000_A,0.1,0 line
625i5000,1080p5000_A,1.02,0 line
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.81,0 line
1080i5994,1080i5994,0.93,0 line
720p5994,1080i5994,1.2,0 line
525i5994,1080i5994,0.02,0 line
1080i5994,720p5994,0.93,0 line
720p5994,720p5994,0.71,0 line
525i5994,720p5994,0.24,0 line
1080i5994,1080p5994_A,1.05,  4 lines delayed
720p5994,1080p5994_A,0.06,0 line
525i5994,1080p5994_A,0.97,0 line
720p5994,525i5994,3.11,0 line
525i5994,525i5994,2.66,0 line
1080i5000,1080i5000,0.86,0 line
720p5000,1080i5000,0.92,0 line
625i5000,1080i5000,0.21,0 line
1080i5000,720p5000,0.95,0 line
720p5000,720p5000,0.94,0 line
625i5000,720p5000,0.16,0 line
1080i5000,1080p5000_A,2.73,  4 lines delayed
720p5000,1080p5000_A,6.2,  4 lines delayed
625i5000,1080p5000_A,0.86,0 line
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,0.96,0 line
625i5000,625i5000,2.51,0 line
1080i5994,1080i5994,0.93,0 line
720p5994,1080i5994,1.25,0 line
525i5994,1080i5994,0.32,0 line
1080i5994,720p5994,0.89,0 line
720p5994,720p5994,1.32,0 line
525i5994,720p5994,0.05,0 line
1080i5994,1080p5994_A,1.26,  4 lines delayed
720p5994,1080p5994_A,0.02,0 line
525i5994,1080p5994_A,1.57,168 lines delayed
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.48,0 line
525i5994,525i5994,2.74,0 line
1080i5000,1080i5000,0.9,0 line
720p5000,1080i5000,0.98,0 line
625i5000,1080i5000,0.83,0 line
1080i5000,720p5000,0.92,0 line
720p5000,720p5000,0.95,0 line
625i5000,720p5000,0.18,0 line
1080i5000,1080p5000_A,2.66,  4 lines delayed
720p5000,1080p5000_A,0.75, 94 lines delayed
625i5000,1080p5000_A,2.26,453 lines delayed
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.81,0 line
1080i5994,1080i5994,0.93,0 line
720p5994,1080i5994,1.18,0 line
525i5994,1080i5994,0.08,0 line
1080i5994,720p5994,0.89,0 line
720p5994,720p5994,1.33,0 line
525i5994,720p5994,0.09,0 line
1080i5994,1080p5994_A,0.1,0 line
720p5994,1080p5994_A,0.05,0 line
525i5994,1080p5994_A,0.91,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.4,0 line
525i5994,525i5994,2.59,0 line
1080i5000,1080i5000,2.59,0 line
720p5000,1080i5000,1.01,0 line
625i5000,1080i5000,0.22,0 line
1080i5000,720p5000,0.95,0 line
720p5000,720p5000,0.98,0 line
625i5000,720p5000,0.14,0 line
1080i5000,1080p5000_A,2.77,  4 lines delayed
720p5000,1080p5000_A,0.17,0 line
625i5000,1080p5000_A,0.48,557 lines delayed
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.66,0 line
1080i5994,1080i5994,0.93,0 line
720p5994,1080i5994,1.33,0 line
525i5994,1080i5994,0.47,0 line
1080i5994,720p5994,0.9,0 line
720p5994,720p5994,1.32,0 line
525i5994,720p5994,0.04,0 line
1080i5994,1080p5994_A,1.42,  4 lines delayed
720p5994,1080p5994_A,7.3,0 line
525i5994,1080p5994_A,1.02,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.63,0 line
525i5994,525i5994,2.74,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,0.91,0 line
625i5000,1080i5000,0.12,0 line
1080i5000,720p5000,0.95,0 line
720p5000,720p5000,0.95,0 line
1080i5000,1080p5000_A,2.76,  4 lines delayed
720p5000,1080p5000_A,0.17,0 line
625i5000,1080p5000_A,0.97,0 line
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.88,0 line
1080i5994,1080i5994,0.94,0 line
720p5994,1080i5994,1.15,0 line
525i5994,1080i5994,0.14,0 line
1080i5994,720p5994,0.94,0 line
720p5994,720p5994,1.25,0 line
525i5994,720p5994,0.02,0 line
1080i5994,1080p5994_A,0.14,0 line
720p5994,1080p5994_A,2.89, 90 lines advanced
525i5994,1080p5994_A,1.11,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.25,0 line
525i5994,525i5994,2.44,0 line
1080i5000,1080i5000,0.88,0 line
720p5000,1080i5000,0.97,0 line
625i5000,1080i5000,0.32,0 line
1080i5000,720p5000,0.95,0 line
720p5000,720p5000,1.02,0 line
625i5000,720p5000,0.24,0 line
1080i5000,1080p5000_A,0.17,0 line
720p5000,1080p5000_A,0.12,0 line
625i5000,1080p5000_A,7.98,  2 lines delayed
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,0.96,0 line
625i5000,625i5000,2.88,0 line
1080i5994,1080i5994,29.1,0 line
720p5994,1080i5994,1.36,0 line
525i5994,1080i5994,0.27,0 line
1080i5994,720p5994,0.9,0 line
720p5994,720p5994,1.28,0 line
525i5994,720p5994,0.05,0 line
1080i5994,1080p5994_A,1.28,  4 lines delayed
720p5994,1080p5994_A,0.13,0 line
525i5994,1080p5994_A,5.89, 20 lines delayed
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.55,0 line
525i5994,525i5994,2.44,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,0.92,0 line
625i5000,1080i5000,0.49,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,1.36,0 line
625i5000,720p5000,0.06,0 line
720p5000,1080p5000_A,0.12,0 line
625i5000,1080p5000_A,1.01,0 line
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.59,0 line
1080i5994,1080i5994,0.93,0 line
720p5994,1080i5994,1.36,0 line
525i5994,1080i5994,0.2,0 line
1080i5994,720p5994,0.87,0 line
720p5994,720p5994,1.33,0 line
525i5994,720p5994,0.27,0 line
1080i5994,1080p5994_A,1.48,  4 lines delayed
720p5994,1080p5994_A,5.98,  4 lines delayed
525i5994,1080p5994_A,4.4,297 lines advanced
720p5994,525i5994,3.4,0 line
525i5994,525i5994,2.59,0 line
1080i5000,1080i5000,0.9,0 line
720p5000,1080i5000,0.98,0 line
625i5000,1080i5000,0.37,0 line
1080i5000,720p5000,0.92,0 line
720p5000,720p5000,0.92,0 line
625i5000,720p5000,0.22,0 line
1080i5000,1080p5000_A,5.38, 50 lines delayed
720p5000,1080p5000_A,0.08,0 line
625i5000,1080p5000_A,8.28,  2 lines delayed
1080i5000,625i5000,1.18,0 line
720p5000,625i5000,1.18,0 line
625i5000,625i5000,2.74,0 line
1080i5994,1080i5994,0.93,0 line
720p5994,1080i5994,1.21,0 line
525i5994,1080i5994,0.25,0 line
1080i5994,720p5994,0.91,0 line
720p5994,720p5994,0.91,0 line
525i5994,720p5994,0.21,0 line
1080i5994,1080p5994_A,1.44,  4 lines delayed
720p5994,1080p5994_A,6.02,  4 lines delayed
525i5994,1080p5994_A,0.78,0 line
1080i5994,525i5994,3.25,0 line
720p5994,525i5994,3.85,0 line
525i5994,525i5994,2.88,0 line
1080i5000,1080i5000,0.88,0 line
720p5000,1080i5000,0.92,0 line
625i5000,1080i5000,0.25,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,0.99,0 line
625i5000,720p5000,0.16,0 line
1080i5000,1080p5000_A,2.57,  4 lines delayed
720p5000,1080p5000_A,0.05,0 line
625i5000,1080p5000_A,4.8, 16 lines delayed
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.66,0 line
1080i5994,1080i5994,0.95,0 line
720p5994,1080i5994,1.03,0 line
525i5994,1080i5994,0.48,0 line
1080i5994,720p5994,0.97,0 line
720p5994,720p5994,1.06,0 line
525i5994,720p5994,0.39,0 line
1080i5994,1080p5994_A,1.51,  4 lines delayed
720p5994,1080p5994_A,7.3,0 line
525i5994,1080p5994_A,1.02,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.63,0 line
525i5994,525i5994,2.44,0 line
1080i5000,1080i5000,0.88,0 line
720p5000,1080i5000,0.97,0 line
625i5000,1080i5000,0.22,0 line
1080i5000,720p5000,0.97,0 line
720p5000,720p5000,0.9,0 line
625i5000,720p5000,0.26,0 line
1080i5000,1080p5000_A,6.06,119 lines delayed
720p5000,1080p5000_A,0.14,0 line
625i5000,1080p5000_A,8.35,  2 lines delayed
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.74,0 line
1080i5994,1080i5994,0.94,0 line
720p5994,1080i5994,1.15,0 line
525i5994,1080i5994,0.09,0 line
1080i5994,720p5994,0.94,0 line
720p5994,720p5994,1.36,0 line
525i5994,720p5994,0.1,0 line
1080i5994,1080p5994_A,0.14,0 line
720p5994,1080p5994_A,0.12,0 line
525i5994,1080p5994_A,4.11,121 lines advanced
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.48,0 line
525i5994,525i5994,2.37,0 line
1080i5000,1080i5000,0.88,0 line
720p5000,1080i5000,1.15,0 line
625i5000,1080i5000,0.17,0 line
1080i5000,720p5000,0.95,0 line
720p5000,720p5000,1.36,0 line
625i5000,720p5000,0.22,0 line
1080i5000,1080p5000_A,2.78,  4 lines delayed
720p5000,1080p5000_A,8.76,0 line
625i5000,1080p5000_A,8.05,  2 lines delayed
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.88,0 line
1080i5994,1080i5994,0.91,0 line
720p5994,1080i5994,1.25,0 line
525i5994,1080i5994,0.21,0 line
1080i5994,720p5994,0.94,0 line
720p5994,720p5994,1.26,0 line
525i5994,720p5994,0.12,0 line
1080i5994,1080p5994_A,0.12, 44 lines delayed
720p5994,1080p5994_A,0.04,0 line
525i5994,1080p5994_A,0.8,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.7,0 line
525i5994,525i5994,2.51,0 line
1080i5000,1080i5000,0.88,0 line
720p5000,1080i5000,1.13,0 line
625i5000,1080i5000,0.06,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,1.38,0 line
625i5000,720p5000,0.26,0 line
720p5000,1080p5000_A,0.16,0 line
625i5000,1080p5000_A,1.94,222 lines advanced
1080i5000,625i5000,1.33,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,3.03,0 line
1080i5994,1080i5994,0.95,0 line
720p5994,1080i5994,1.33,0 line
525i5994,1080i5994,0.06,0 line
1080i5994,720p5994,0.91,0 line
720p5994,720p5994,1.22,0 line
525i5994,720p5994,0.24,0 line
1080i5994,1080p5994_A,0.99,  4 lines delayed
720p5994,1080p5994_A,0.1,0 line
525i5994,1080p5994_A,1.13,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.4,0 line
525i5994,525i5994,2.44,0 line
1080i5000,1080i5000,2.44,0 line
720p5000,1080i5000,0.91,0 line
625i5000,1080i5000,0.17,0 line
1080i5000,720p5000,0.95,0 line
720p5000,720p5000,1.01,0 line
625i5000,720p5000,0.18,0 line
720p5000,1080p5000_A,6.15,  4 lines delayed
625i5000,1080p5000_A,8.31,197 lines delayed
1080i5000,625i5000,1.25,0 line
720p5000,625i5000,1.11,0 line
625i5000,625i5000,2.81,0 line
1080i5994,1080i5994,0.93,0 line
720p5994,1080i5994,1.02,0 line
525i5994,1080i5994,0.14,0 line
1080i5994,720p5994,0.95,0 line
720p5994,720p5994,1.1,0 line
525i5994,720p5994,0.08,0 line
1080i5994,1080p5994_A,1.34,  4 lines delayed
720p5994,1080p5994_A,0.12,0 line
525i5994,1080p5994_A,0.83,0 line
1080i5994,525i5994,3.33,0 line
720p5994,525i5994,3.63,0 line
525i5994,525i5994,2.59,0 line
1080i5000,1080i5000,0.87,0 line
720p5000,1080i5000,1.1,0 line
625i5000,1080i5000,0.32,0 line
1080i5000,720p5000,0.94,0 line
720p5000,720p5000,0.94,0 line
625i5000,720p5000,0.12,0 line
1080i5000,1080p5000_A,2.57,  4 lines delayed
720p5000,1080p5000_A,6.37,  4 lines delayed
625i5000,1080p5000_A,7.98,  2 lines delayed
